designation,degree,premium,profile_pic,connected,username
User Experience Designer T-Mobile,2,true,true,false,josef-boutte
UX Researcher + Designer,3,true,true,false,danielrbeals
Cozier Fashions Link,3,false,true,false,ali-haider-85986160
Co-Product Owner | Head Of Marketing & Sales Breaking Mars Inc.,1,true,true,true,ratul-rahman
CEO at Flyte Solutions,3,false,true,false,saifulshumon
"Tattoo Shop Durham, NC",2,false,true,false,kung-fu-tattoo-b26b0a21
UX/UI Designer II Idelic,3,false,true,false,frances-frazier-010931123
Thinker,2,false,true,false,kung-fu-chan-7624234a
Managing Director at amptex,2,false,true,false,mohammad-abdullah-mahmud-pollen-3a696018
Chief Executive Officer at Farian Textile Group,3,false,true,false,alam-biplob-79485030
"◆ Director – Global Markets Sales and Trading, First Abu Dhabi Bank ⇨ Performance Management ⇨ Strategic Leadership ⇨ Team Building ⇨ Process Improvement",2,false,true,false,hassan-mansouri-514769a
Frontend Developer at 6sense | High Tech Software Agency,1,true,true,true,md-jahid-hasan-anik
Chief Executive Officer at Zaafirah Corporation,2,false,true,false,monirujjaman-polash-4271832a
Sample Pattern Master,2,false,true,false,s-m-juwel-mia-7b9263220
"UX/UI Designer WISE Cities, LLC.",2,false,true,false,anavzelaya
Operation Lead at Shajao.com,1,false,true,true,fazle-rabbee-0b23261b4
SQA at Shajao.com,1,false,true,true,rubaia-islam-359687232
"Senior Director, Quality Control and CMC Operations at Adicet Bio, Inc",2,false,true,false,ta-kung-tk-chen-8975292
Lead UX/UI Designer The RealReal,3,false,true,false,eileenmguan
Head of Construction at Xclusive Can Limited,2,false,true,false,engr-iskender-merza-44b2b296
UI UX designer Salt Technologies,3,false,true,false,akash-panicker-921926146
Pattern Master(CAD),2,false,true,false,shahidul-islam-4b1809141
Master of Science - University of Dhaka,2,false,true,false,munmun-sarker-mumu-46975119b
Currently studying Master of Cyber Security at Edith Cowan University,3,false,true,false,samkhisa
Country General Manager Germany bei Prox Systems Germany GmbH,2,false,true,false,fu-kung-shen-200a4182
--,2,false,true,false,kung-fu-08a07a89
UI/UX Designer/Researcher Catch22delivery.com,2,false,true,false,sandy-salib-a04080196
Chief Executive Officer at Pixasoft,2,false,true,false,saikat-mahmud-283a44193
China Wudang Taichi Kungfu Training,3,false,true,false,wudang-daoyuan-internal-kungfu-academy-b5044072
Vice President Customer Service Guardian Life Insurance Limited,2,false,true,false,palash-lodh-688220bb
UI/UX Designer Chasescroll,2,true,true,false,abimbola-oduyomi
Director Kitty & Miles : Buyers Agent Sydney,3,true,true,false,buyers-agent-sydney
